afar (aa)
abchaziska (ab)
acehnesiska (ace)
acholi (ach)
adangme (ada)
adygeiska (ady)
avestiska (ae)
afrikaans (af)
afrihili (afh)
aghem (agq)
ainu (ain)
akan (ak)
akkadiska (akk)
aleutiska (ale)
sydaltaiska (alt)
amhariska (am)
aragonesiska (an)
fornengelska (ang)
angika (anp)
arabiska (ar)
modern standardarabiska (ar_001)
arameiska (arc)
araukanska (arn)
arapaho (arp)
arawakiska (arw)
assamesiska (as)
asu (asa)
asturiska (ast)
avariska (av)
awadhi (awa)
aymara (ay)
azerbajdzjanska (az)
basjkiriska (ba)
baluchiska (bal)
balinesiska (ban)
basa (bas)
bamunska (bax)
ghomala (bbj)
vitryska (be)
beja (bej)
bemba (bem)
bena (bez)
bafut (bfd)
bulgariska (bg)
bhojpuri (bho)
bislama (bi)
bikol (bik)
bini (bin)
bamekon (bkm)
siksika (bla)
bambara (bm)
bengali (bn)
tibetanska (bo)
bretonska (br)
braj (bra)
bodo (brx)
bosniska (bs)
bakossi (bss)
burjätiska (bua)
buginesiska (bug)
boulou (bum)
blin (byn)
bagangte (byv)
katalanska (ca)
caddo (cad)
karibiska (car)
cayuga (cay)
atsam (cch)
tjetjenska (ce)
cebuano (ceb)
chiga (cgg)
chamorro (ch)
chibcha (chb)
chagatai (chg)
chuukesiska (chk)
mariska (chm)
chinook (chn)
choctaw (cho)
chipewyan (chp)
cherokesiska (chr)
cheyenne (chy)
soranisk kurdiska (ckb)
korsikanska (co)
koptiska (cop)
cree (cr)
krimtatariska (crh)
tjeckiska (cs)
kasjubiska (csb)
kyrkslaviska (cu)
tjuvasjiska (cv)
walesiska (cy)
danska (da)
dakota (dak)
darginska (dar)
taita (dav)
tyska (de)
österrikisk tyska (de_AT)
schweizisk högtyska (de_CH)
delaware (del)
slavej (den)
dogrib (dgr)
dinka (din)
zarma (dje)
dogri (doi)
lågsorbiska (dsb)
duala (dua)
medelnederländska (dum)
divehi (dv)
jola-fonyi (dyo)
dyula (dyu)
bhutanesiska (dz)
dazaga (dzg)
embu (ebu)
ewe (ee)
efik (efi)
fornegyptiska (egy)
ekajuk (eka)
grekiska (el)
elamitiska (elx)
engelska (en)
australisk engelska (en_AU)
kanadensisk engelska (en_CA)
brittisk engelska (en_GB)
amerikansk engelska (en_US)
medelengelska (enm)
esperanto (eo)
spanska (es)
latinamerikansk spanska (es_419)
europeisk spanska (es_ES)
mexikansk spanska (es_MX)
estniska (et)
baskiska (eu)
ewondo (ewo)
persiska (fa)
fang (fan)
fanti (fat)
fulani (ff)
finska (fi)
filippinska (fil)
fijianska (fj)
färöiska (fo)
fonspråket (fon)
franska (fr)
kanadensisk franska (fr_CA)
schweizisk franska (fr_CH)
medelfranska (frm)
fornfranska (fro)
nordfrisiska (frr)
östfrisiska (frs)
friulianska (fur)
västfrisiska (fy)
iriska (ga)
gã (gaa)
gayo (gay)
gbaya (gba)
höglandsskotska (gd)
etiopiska (gez)
gilbertiska (gil)
galiciska (gl)
medelhögtyska (gmh)
guaraní (gn)
fornhögtyska (goh)
gondi (gon)
gorontalo (gor)
gotiska (got)
grebo (grb)
forngrekiska (grc)
schweizertyska (gsw)
gujarati (gu)
gusli (guz)
manx (gv)
gwichin (gwi)
haussa (ha)
haida (hai)
hawaiiska (haw)
hebreiska (he)
hindi (hi)
hiligaynon (hil)
hettitiska (hit)
hmongspråk (hmn)
hirimotu (ho)
kroatiska (hr)
högsorbiska (hsb)
haitiska (ht)
ungerska (hu)
hupa (hup)
armeniska (hy)
herero (hz)
interlingua (ia)
ibanska (iba)
ibibio (ibb)
indonesiska (id)
interlingue (ie)
ibo (ig)
szezuan i (ii)
inupiak (ik)
iloko (ilo)
ingusjiska (inh)
ido (io)
isländska (is)
italienska (it)
inuktitut (iu)
japanska (ja)
lojban (jbo)
ngomba (jgo)
kimashami (jmc)
judisk persiska (jpr)
judisk arabiska (jrb)
javanesiska (jv)
georgiska (ka)
karakalpakiska (kaa)
kabyliska (kab)
kachin (kac)
jju (kaj)
kamba (kam)
kawi (kaw)
kabardinska (kbd)
kanembu (kbl)
tyap (kcg)
makonde (kde)
kapverdiska (kea)
koro (kfo)
kikongo (kg)
khasi (kha)
khotanesiska (kho)
Timbuktu-songhoy (khq)
kikuyu (ki)
kuanyama (kj)
kazakiska (kk)
mkako (kkj)
grönländska (kl)
kalenjin (kln)
kambodjanska (km)
kimbundu (kmb)
kannada (kn)
koreanska (ko)
konkani (kok)
kosreanska (kos)
kpelle (kpe)
kanuri (kr)
karachay-balkar (krc)
karelska (krl)
kurukh (kru)
kashmiriska (ks)
kisambaa (ksb)
bafia (ksf)
kölniska (ksh)
kurdiska (ku)
kumykiska (kum)
kutenaj (kut)
kome (kv)
korniska (kw)
kirgisiska (ky)
latin (la)
