ab,Kiabkhazi
ach,Kiakoli
af,Kiafrikana
agq,Kiaghem
ak,Kiakani
am,Kiamhari
ang,Kiingereza cha Kale
ar,Kiarabu
ar_001,Kiarabu Sanifu cha Kisasa
arc,Kiaramu
arn,Kimapuche
arq,Kiarabu cha Kialjeria
arz,Kiarabu cha Misri
as,Kiassam
asa,Kiasu
ay,Kiaimara
az,Kiazabajani
ba,Kibashkir
bas,Kibasaa
bax,Kibamun
bbj,Kighomala
be,Kibelarusi
bej,Kibeja
bem,Kibemba
bez,Kibena
bfd,Kibafut
bg,Kibulgaria
bkm,Kikom
bm,Kibambara
bn,Kibengali
bo,Kitibeti
br,Kibretoni
brx,brx
bs,Kibosnia
bum,Kibulu
byv,Kimedumba
ca,Kikatalani
cgg,Kichiga
chr,Kicherokee
ckb,Kikurdi cha Sorani
co,Kikosikani
cop,Kikhufti
cs,Kicheki
cy,Kiwelisi
da,Kidenmaki
dav,Kitaita
de,Kijerumani
dje,Kizarma
dsb,Kidolnoserbski
dua,Kiduala
dv,Kidivehi
dyo,Kijola-Fonyi
dyu,Kijula
dz,Kizongkha
ebu,Kiembu
ee,Kiewe
efi,Kiefiki
egy,Kimisri
eka,Kiekajuk
el,Kigiriki
en,Kiingereza
eo,Kiesperanto
es,Kihispania
es_ES,Kihispania cha Ulaya
et,Kiestonia
eu,Kibasque
ewo,Kiewondo
fa,Kiajemi
ff,Kifulfulde
fi,Kifinlandi
fil,Kifilipino
fj,Kifiji
fo,Kifaroe
fon,Kifon
fr,Kifaransa
fro,Kifaransa cha Kale
frr,Kifrisia cha Kaskazini
frs,Kifrisia cha Mashariki
fy,Kifrisia cha Magharibi
ga,Kiayalandi
gaa,Kiga
gag,Kigagauzi
gba,Kigbaya
gd,Kigaeli cha Uskoti
gez,Kige’ez
gl,Kigalisi
gn,Kiguarani
grc,Kiyunani
gsw,Kijerumani cha Uswisi
gu,Kigujarati
guz,Kikisii
gv,Kimanx
ha,Kihausa
haw,Kihawai
he,Kiebrania
hi,Kihindi
hit,Kihiti
hr,Kroeshia
hsb,hsb
ht,Kihaiti
hu,Kihungari
hy,Kiarmenia
hz,Kiherero
ia,Kiintalingua
ibb,Kiibibio
id,Kiindonesia
ie,lugha ya kisayansi
ig,Kiigbo
ii,Sichuan Yi
is,Kiaisilandi
it,Kiitaliano
iu,iu
ja,Kijapani
jgo,Kingomba
jmc,Kimachame
jv,Kijava
ka,Kijojia
kab,Kikabylia
kam,Kikamba
kbl,Kikanembu
kde,Kimakonde
kea,Kikabuverdianu
kfo,Kikoro
kg,Kikongo
khq,Kikoyra Chiini
ki,Kikikuyu
kj,Kikwanyama
kk,Kikazaki
kkj,Kikako
kl,Kikalaallisut
kln,Kikalenjin
km,Kikambodia
kmb,Kimbundu
kn,Kikannada
ko,Kikorea
koi,Kikomipermyak
kok,kok
kr,Kikanuri
ks,Kikashmiri
ksb,Kisambaa
ksf,Kibafia
ku,Kikurdi
kv,Kikomi
kw,Kikorni
ky,Kikirigizi
la,Kilatini
lag,Kirangi
lam,Chilamba
lb,Kilasembagi
lg,Kiganda
lkt,Kilakota
ln,Kilingala
lo,Kilaosi
lol,Kimongo
loz,Kilozi
lt,Kilithuania
lu,Kiluba-Katanga
lua,Kiluba-Lulua
lun,Kilunda
luo,Kijaluo
luy,Kiluhya
lv,Kilatvia
maf,Kimafa
mag,Kimagahi
mas,Kimaasai
mde,Kimaba
men,Kimende
mer,Kimeru
mfe,Kimoriseni
mg,Malagasi
mgh,Kimakhuwa-Meetto
mgo,Kimeta
mi,Kimaori
mk,Kimasedonia
ml,Kimalayalam
mn,Kimongolia
moh,Kimohoki
mos,Kimoore
mr,Kimarathi
ms,Kimalesia
mt,Kimalta
mua,Kimundang
mul,Lugha Nyingi
my,Kiburma
naq,Kinama
nb,Kibokmal cha Norwe
nd,Kindebele cha Kaskazini
ne,Kinepali
new,Kinewari
ng,Kindonga
nl,Kiholanzi
nmg,Kikwasio
nn,Kinorwe Kipya
no,Kinorwe
nqo,N’Ko
nr,Kindebele
nso,Kisotho cha Kaskazini
nus,Kinuer
nwc,Kinewari cha kale
ny,Kinyanja
nym,Kinyamwezi
nyn,Kinyankole
nyo,Kinyoro
nzi,Kinzema
oc,Kiokitani
om,Kioromo
or,Kioriya
os,Kiosetia
pa,Kipunjabi
peo,Kiajemi cha Kale
pl,Kipolandi
ps,Kipashto
pt,Kireno
qu,Kiquechua
quc,Kʼicheʼ
rap,Kirapanui
rar,Kiraratonga
rm,Kiromanshi
rn,Kirundi
ro,Kiromania
rof,Kirombo
ru,Kirusi
rw,Kinyarwanda
rwk,Kirwo
sa,Kisanskriti
sad,Kisandawe
sam,Kiaramu cha Wasamaria
saq,Kisamburu
sbp,Kisangu
sd,Kisindhi
se,Kisami cha Kaskazini
seh,Kisena
ses,Koyraboro Senni
sg,Kisango
sh,Kiserbia-kroeshia
shi,Tachelhit
shu,Kiarabu cha Chadi
si,Kisinhala
sk,Kislovakia
sl,Kislovenia
sm,Kisamoa
sma,Kisami cha Kusini
smj,Kisami cha Lule
smn,Kisami cha Inari
sms,Kisami cha Skolt
sn,Kishona
snk,Kisoninke
so,Kisomali
sq,Kialbania
sr,Kiserbia
ss,Kiswati
ssy,Kisaho
st,Kisotho cha Kusini
su,Kisunda
suk,Kisukuma
sus,Kisusu
sv,Kiswidi
sw,Kiswahili
swb,Shikomor
swc,Kingwana
ta,Kitamil
te,Kitelugu
tem,Kitemne
teo,Kiteso
tet,Kitetum
tg,Kitajiki
th,Kitailandi
ti,Kitigrinya
tk,Kiturukimeni
tlh,Kiklingoni
tn,Kitswana
to,Kitonga
tpi,Kitokpisin
tr,Kituruki
ts,Kitsonga
tt,Kitatari
tum,Kitumbuka
tw,Kitwi
twq,Kitasawaq
ty,Kitahiti
tzm,Central Atlas Tamazight
ug,Kiuiguri
uk,Kiukrania
und,Lugha Isiyojulikana
ur,Kiurdu
uz,Kiuzbeki
vai,Kivai
ve,Kivenda
vi,Kivietinamu
vun,Kivunjo
wo,Kiwolofu
xh,Kixhosa
xog,Kisoga
yao,Kiyao
ybb,Kiyemba
yi,Kiyidi
yo,Kiyoruba
zgh,Tamaziti Msingi ya Kimoroko
zh,Kichina
zh_Hant,Kichina cha Jadi
zu,Kizulu
zxx,Hakuna maudhui ya lugha
