Белорусӣ (be)
Булғорӣ (bg)
Биҳарӣ (bh)
Бенгалӣ (bn)
Бретонӣ (br)
Босниягӣ (bs)
Каталанӣ (ca)
Чехӣ (cs)
Даниягӣ (da)
Немисӣ (de)
Юнонӣ (el)
Англисӣ (en)
Эсперанто (eo)
Испанӣ (es)
Эстонӣ (et)
Баскӣ (eu)
Форсӣ (fa)
Финнӣ (fi)
Филиппинӣ (fil)
Фарозӣ (fo)
Фаронсавӣ (fr)
Фрисианӣ (fy)
Ирландӣ (ga)
Шотландӣ-Галикӣ (gd)
Галисианӣ (gl)
Горанӣ (gn)
Гуҷаратӣ (gu)
Яҳудӣ (he)
Ҳиндӣ (hi)
Маҷорӣ (hu)
Байни забонӣ (ia)
Индонезӣ (id)
Исландӣ (is)
Ҷопонӣ (ja)
Ҷаванизӣ (jv)
Гурҷӣ (ka)
Қирғизӣ (ky)
Лотинӣ (la)
Лаосӣ (lo)
Литвонӣ (lt)
Латвиягӣ (lv)
Ҳолландӣ (nl)
Норвегӣ (no)
Урисоӣ (or)
Лаҳистонӣ (pl)
Португалӣ (pt)
Португалӣ (Бразилия) (pt_BR)
Руминӣ (ro)
Русӣ (ru)
Шведӣ (sv)
Тоҷикӣ (tg)
Ӯйғурӣ (ug)
Украинӣ (uk)
Урду (ur)
Ӯзбекӣ (uz)
Яҳудии Аврупои шарқӣ (yi)
Чинӣ (zh)
Зулу (zu)
