አፍሪቃንሰኛ (af)
አምሐረኛ (am)
ዓረበኛ (ar)
አዜርባይጃንኛ (az)
ቤላራሻኛ (be)
ቡልጋሪኛ (bg)
ቢሃሪ (bh)
በንጋሊኛ (bn)
ብሬቶን (br)
ቦስኒያን (bs)
ካታላን (ca)
ቼክኛ (cs)
ወልሽ (cy)
ዴኒሽ (da)
ጀርመን (de)
ግሪከኛ (el)
እንግሊዝኛ (en)
ኤስፐራንቶ (eo)
ስፓኒሽ (es)
ኤስቶኒአን (et)
ባስክኛ (eu)
ፐርሲያኛ (fa)
ፊኒሽ (fi)
ታጋሎገኛ (fil)
ፋሮኛ (fo)
ፈረንሳይኛ (fr)
ፍሪሰኛ (fy)
አይሪሽ (ga)
እስኮትስ ጌልክኛ (gd)
ጋለቪኛ (gl)
ጓራኒ (gn)
ጉጃራቲኛ (gu)
ዕብራስጥ (he)
ሕንደኛ (hi)
ክሮሽያንኛ (hr)
ሀንጋሪኛ (hu)
ኢንቴር ቋንቋ (ia)
እንዶኑሲኛ (id)
አይስላንደኛ (is)
ጣሊያንኛ (it)
ጃፓንኛ (ja)
ጃቫንኛ (jv)
ጊዮርጊያኛ (ka)
ካማደኛ (kn)
ኮሪያኛ (ko)
ኩርድሽ (ku)
ኪሩጋዚ (ky)
ላቲንኛ (la)
ሊቱአኒየን (lt)
ላቲቪያን (lv)
ማክዶኒኛ (mk)
ማላያላምኛ (ml)
ማራቲኛ (mr)
ማላይኛ (ms)
ማልቲስኛ (mt)
ኔፖሊኛ (ne)
ደች (nl)
ኖርዌይኛ (ናይ ኝኖርስክ) (nn)
ኖርዌጂያን (no)
ኦኪታንኛ (oc)
ኦሪያ (or)
ፑንጃቢኛ (pa)
ፖሊሽ (pl)
ፓሽቶ (ps)
ፖርቱጋሊኛ (pt)
ፖርቱጋልኛ (ናይ ብራዚል) (pt_BR)
ፖርቱጋልኛ (ናይ ፖርቱጋል) (pt_PT)
ሮማኒያን (ro)
ራሽኛ (ru)
ሰርቦ- ክሮዊታን (sh)
ስንሃልኛ (si)
ስሎቨክኛ (sk)
ስቁቪኛ (sl)
አልቤኒኛ (sq)
ሰርቢኛ (sr)
ሰሴቶ (st)
ሱዳንኛ (su)
ስዊድንኛ (sv)
ሰዋሂሊኛ (sw)
ታሚልኛ (ta)
ተሉጉኛ (te)
ታይኛ (th)
ትግርኛ (ti)
ናይ ቱርኪ ሰብዓይ (ቱርካዊ) (tk)
ክሊንግኦንኛ (tlh)
ቱርከኛ (tr)
ትዊ (tw)
ዩክረኒኛ (uk)
ኡርዱኛ (ur)
ኡዝበክኛ (uz)
ቪትናምኛ (vi)
ዞሳኛ (xh)
ዪዲሽ (yi)
ዙሉኛ (zu)
