አፋርኛ (aa)
አብሐዚኛ (ab)
አፍሪቃንስኛ (af)
አምሐረኛ (am)
ዐርቢኛ (ar)
አሳሜዛዊ (as)
አያማርኛ (ay)
አዜርባይጃንኛ (az)
ባስኪርኛ (ba)
ቤላራሻኛ (be)
ቡልጋሪኛ (bg)
ቢሃሪ (bh)
ቢስላምኛ (bi)
በንጋሊኛ (bn)
ትበትንኛ (bo)
ብሬቶንኛ (br)
ብሊን (byn)
ካታላንኛ (ca)
ኮርሲካኛ (co)
ቼክኛ (cs)
ወልሽ (cy)
ዴኒሽ (da)
ጀርመን (de)
ድዞንግኻኛ (dz)
ግሪክኛ (el)
እንግሊዝኛ (en)
ኤስፐራንቶ (eo)
ስፓኒሽ (es)
ኤስቶኒአን (et)
ባስክኛ (eu)
ፐርሲያኛ (fa)
ፊኒሽ (fi)
ፊጂኛ (fj)
ፋሮኛ (fo)
ፈረንሳይኛ (fr)
ፍሪስኛ (fy)
አይሪሽ (ga)
እስኮትስ ጌልክኛ (gd)
ግዕዝኛ (gez)
ጋለጋኛ (gl)
ጓራኒኛ (gn)
ጉጃርቲኛ (gu)
ሃውሳኛ (ha)
ዕብራስጥ (he)
ሐንድኛ (hi)
ክሮሽያንኛ (hr)
ሀንጋሪኛ (hu)
አርመናዊ (hy)
ኢንቴርሊንጓ (ia)
እንዶኒሲኛ (id)
እንተርሊንግወ (ie)
እኑፒያቅኛ (ik)
አይስላንድኛ (is)
ጣሊያንኛ (it)
እኑክቲቱትኛ (iu)
ጃፓንኛ (ja)
ጃቫንኛ (jv)
ጊዮርጊያን (ka)
ካዛክኛ (kk)
ካላሊሱትኛ (kl)
ክመርኛ (km)
ካናዳኛ (kn)
ኮሪያኛ (ko)
ካሽሚርኛ (ks)
ኩርድሽኛ (ku)
ኪርጊዝኛ (ky)
ላቲንኛ (la)
ሊንጋላኛ (ln)
ላውስኛ (lo)
ሊቱአኒያን (lt)
ላትቪያን (lv)
ማላጋስኛ (mg)
ማዮሪኛ (mi)
ማከዶኒኛ (mk)
ማላያላምኛ (ml)
ሞንጎላዊኛ (mn)
ሞልዳቫዊና (mo)
ማራዚኛ (mr)
ማላይኛ (ms)
ማልቲስኛ (mt)
ቡርማኛ (my)
ናኡሩ (na)
ኔፓሊኛ (ne)
ደች (nl)
ኖርዌጂያን (no)
ኦኪታንኛ (oc)
ኦሮምኛ (om)
ኦሪያኛ (or)
ፓንጃቢኛ (pa)
ፖሊሽ (pl)
ፑሽቶኛ (ps)
ፖርቱጋሊኛ (pt)
ኵቿኛ (qu)
ሮማንስ (rm)
ሩንዲኛ (rn)
ሮማኒያን (ro)
ራሽኛ (ru)
ኪንያርዋንድኛ (rw)
ሳንስክሪትኛ (sa)
ሲንድሂኛ (sd)
ሳንጎኛ (sg)
ስንሃልኛ (si)
ሲዳምኛ (sid)
ስሎቫክኛ (sk)
ስሎቪኛ (sl)
ሳሞአኛ (sm)
ሾናኛ (sn)
ሱማልኛ (so)
ልቤኒኛ (sq)
ሰርቢኛ (sr)
ስዋቲኛ (ss)
ሶዞኛ (st)
ሱዳንኛ (su)
ስዊድንኛ (sv)
ስዋሂሊኛ (sw)
ታሚልኛ (ta)
ተሉጉኛ (te)
ታጂኪኛ (tg)
ታይኛ (th)
ትግርኛ (ti)
ትግረ (tig)
ቱርክመንኛ (tk)
ታጋሎገኛ (tl)
ጽዋናዊኛ (tn)
ቶንጋ (to)
ቱርክኛ (tr)
ጾንጋኛ (ts)
ታታርኛ (tt)
ትዊኛ (tw)
ኡዊግሁርኛ (ug)
ዩክረኒኛ (uk)
ኡርዱኛ (ur)
ኡዝበክኛ (uz)
ቪትናምኛ (vi)
ቮላፑክኛ (vo)
ዎሎፍኛ (wo)
ዞሳኛ (xh)
ይዲሻዊኛ (yi)
ዮሩባዊኛ (yo)
ዡዋንግኛ (za)
ቻይንኛ (zh)
ዙሉኛ (zu)
