ab,lea fakaʻapakasi
ady,lea fakaʻatike
af,lea fakaʻafilikana
agq,lea fakaʻakemi
ain,lea fakaʻainu
ak,lea fakaʻakani
am,lea ʻameliki
ar,lea fakaʻalepea
art,lea faʻu
as,lea ʻasamisi
asa,lea fakaʻasu
ast,lea fakaʻasitūlia
av,lea fakaʻavaliki
ay,lea ʻaimala
az,lea fakaʻasapaisani
ba,lea fakapasikili
bas,lea fakapasaʻa
bax,lea fakapamuni
bbj,lea fakakomala
be,lea fakapelelusi
bem,lea fakapēmipa
bez,lea fakapena
bfd,lea fakapafuti
bg,lea fakapokalia
bi,lea fakapisilama
bkm,lea fakakome
bm,lea fakapamipala
bn,lea fakapengila
bo,lea fakataipeti
br,lea fakapeletoni
brx,lea fakapōto
bs,lea fakaposinia
bss,lea fakaʻakōse
bum,lea fakapulu
byv,lea fakametūmipa
ca,lea fakaketalani
ce,lea fakasese
ceb,lea fakasepuano
ch,lea fakakamolo
chk,lea fakatūke
cop,lea fakakopitika
cs,lea fakaseki
cy,lea fakauēlesi
da,lea fakatenimaʻake
de,lea fakasiamane
de_AT,lea fakasiamani ʻaositulia
de_CH,lea fakasiamani suitisālani ma'olunga
dua,lea fakatuala
dv,lea tivehi
dyo,lea fakaiola-fonī
dz,lea fakaputeni
ebu,lea fakaʻemipū
ee,lea fakaʻeue
efi,lea ʻefiki
egy,lea fakaʻisipitemuʻa
el,lea fakakalisi
en,lea fakapālangi
en_AU,lea fakapālangi ʻaositelēlia
en_CA,lea fakapālangi kānata
en_GB,lea fakapilitānia
en_US,lea fakapālangi ʻamelika
eo,lea fakaʻesipulanito
es,lea fakasīpenisi
es_419,lea fakasipēnisi lātini ʻamelika
es_ES,lea fakasipēnisi ʻaipilieni
et,lea fakaʻesitōnia
eu,lea pasiki
ewo,lea fakaʻeuōnito
fa,lea fakapēsia
fan,lea fakafangi
ff,lea fakafulā
fi,lea fakafinilani
fil,lea fakafilipaini
fj,lea fakafisi
fo,lea fakafaloe
fr,lea fakafalanisē
fr_CA,lea fakafalanisē kānata
fr_CH,lea fakafalanisē suitisālani
fy,lea fakafilisia hihifo
ga,lea fakaʻaelani
gaa,lea fakakā
gd,lea fakakaeliki
gil,lea fakakilipasi
gl,lea kalisieni
gn,lea kualani
grc,lea fakakalisimuʻa
gsw,lea fakasiamani suitisālani
gu,lea kutalati
ha,lea hausa
haw,lea fakahauaiʻi
he,lea fakahepelū
hi,lea fakahinitī
hil,lea fakahilikainoni
ho,lea fakahilimotu
hr,lea fakakuloisia
ht,lea fakahaiti
hu,lea fakahangakalia
hy,lea fakaʻaminiume
ibb,lea fakaʻipipio
id,lea fakaʻinitōnesia
ig,lea ʻikipō
ilo,lea fakaʻiloko
inh,lea fakaʻingusi
is,lea fakaʻaisilani
it,lea fakaʻītali
ja,lea fakasiapani
jv,lea fakasava
ka,lea fakasōsia
kbd,lea fakakapālitia
kg,lea fakakongikō
kha,lea fakakāsi
kj,lea fakakuaniama
kk,lea fakakasakiteni
kkj,lea fakakako
kl,lea fakakalaʻalisuti
km,lea fakakemipōtia
kn,lea kanata
ko,lea fakakōlea
kok,lea fakakonikani
kos,lea fakakosirae
kr,lea fakakanuli
krc,lea fakakalate-palakili
krl,lea fakakalelia
ks,lea fakakesimia
ksf,lea fakapafia
ku,lea kētisi
kum,lea fakakumiki
kv,lea fakakomi
ky,lea fakakekisiteni
la,lea fakalatina
lah,lea lanita
lb,lea fakalakisimipeki
lez,lea fakalesikia
ln,lea lingikala
lo,lea fakalau
lt,lea fakalifiuenia
lu,lea fakalupa-katanga
lua,lea fakalupa-lulua
luy,lea fakaluīa
lv,lea fakalativia
maf,lea fakamafa
mai,mea fakamaitili
mdf,lea fakamokisā
mg,lea fakamatakasika
mgh,lea fakamakūa-meʻeto
mh,lea fakamāsolo
mi,lea fakamauli
mis,lea kehekehe
mk,lea fakamasitōnia
ml,lea fakaʻinitia malāialemi
mn,lea fakamongokōlia
mr,lea malati
ms,lea fakamalei
mt,lea fakamolota
mua,lea fakamunitangi
mul,lea tuifio
my,lea fakapema
mye,lea fakamiene
myv,lea fakaʻelisia
na,lea fakanaulu
nb,lea fakanouei pokimali
nd,lea netepele fakatokelau
ne,lea fakanepali
niu,lea fakaniuē
nl,lea fakahōlani
nl_BE,lea fakahōlani pelesiume
nmg,lea fakakuasio
nn,lea fakanouei nosiki
nnh,lea fakangiemipōni
no,lea fakanouē
nog,lea fakanokai
nr,lea fakanetepele fakatonga
nso,lea sofo fakatokelau
nus,lea fakanueli
ny,lea sua
or,lea fakaʻinitia ʻolāea
os,lea ʻosetiki
pa,lea punusapi
pag,lea fakapangasina
pal,lea fakapālavi
pap,lea fakapapiamēnito
pau,lea fakapalau
pl,lea fakapōlani
pon,lea fakaponapē
ps,lea pasito
pt,lea fakapotukali
pt_BR,lea fakapotukali-palāsili
pt_PT,lea fakapotukali ʻaipilieni
qu,lea kuetisa
rap,lea fakalapanui
rar,lea fakalalotonga
rm,lea laito-lomēnia
rn,lea luaniti
ro,lea fakalōmenia
rof,lea fakalomipō
ru,lea fakalūsia
rw,lea fakaluanita
rwk,lea fakaluā
sa,lea sanisukuliti
sah,lea fakasaka
sat,lea fakasanitali
sbp,lea fakasangu
sco,lea fakasikotilani
sd,lea siniti
se,lea sami fakatokelau
sg,lea sango
sgn,lea fakaʻilonga
sh,lea sēpia-kuloisia
si,lea fakaselengika
sk,lea fakasolāvaki
sl,lea fakasolovenia
sm,lea fakahaʻamoa
sma,lea fakasami fakatonga
smi,lea fakasami
smj,lea fakasami-lule
smn,lea fakasami-ʻinali
sms,lea fakasami-sikolita
sn,lea sona
so,lea fakasomali
sq,lea fakaʻalapēnia
sr,lea fakasēpia
ss,lea fakasuasilani
st,lea sofo fakatonga
su,lea sanita
sv,lea fakasueteni
sw,lea suahile
swb,lea fakakomolo
ta,lea fakatemole
te,lea fakaʻinitia teluku
tet,lea fakatētamu
tg,lea fakatetiki
th,lea fakataileni
ti,lea fakatikilina
tk,lea tekimeni
tkl,lea fakatokelau
tl,lea fakatekaloka
tn,lea suana
to,lea fakatonga
tpi,lea toki pisini
tr,lea fakatoake
ts,lea songa
tt,lea fakatatale
tvl,lea fakatūvalu
twq,lea fakatasauaki
ty,lea fakatahiti
tyv,lea fakatuvīnia
udm,lea fakaʻutimuliti
ug,lea fakaʻuika
uk,lea fakaʻiukālia
und,lea taʻeʻiloa
ur,lea fakaʻetiu
uz,lea fakaʻusipeki
vai,lea fakavai
ve,lea fakavenitā
vi,lea fakavietinemi
wae,lea fakaʻualiseli
war,lea fakaʻualai
wo,lea fakaʻuolofo
xh,lea fakatōsa
yap,lea fakaʻiapi
yav,lea fakaʻiangipeni
ybb,lea fakaʻiēmipa
yo,lea fakaʻiōlupa
yue,lea kenitēnisi
za,lea fakasuangi
zh,lea fakasiaina
zh_Hans,lea fakasiaina fakangofua
zh_Hant,lea fakasiaina tukufakaholo
zu,lea fakasulu
zxx,ʻikai ha lea
