афарська (aa)
абхазька (ab)
ачехська (ace)
ачолі (ach)
адангме (ada)
адигейська (ady)
авестійська (ae)
африкаанс (af)
африхілі (afh)
агем (agq)
айнська (ain)
акан (ak)
аккадська (akk)
алеутська (ale)
південноалтайська (alt)
амхарська (am)
арагонська (an)
давньоанглійська (ang)
ангіка (anp)
арабська (ar)
сучасна стандартна арабська (ar_001)
арамейська (arc)
арауканська (arn)
арапахо (arp)
аравакська (arw)
ассамська (as)
асу (asa)
астурська (ast)
аварська (av)
авадхі (awa)
аймара (ay)
азербайджанська (az)
башкирська (ba)
балучі (bal)
балійська (ban)
баса (bas)
бамум (bax)
гомала (bbj)
білоруська (be)
беджа (bej)
бемба (bem)
бена (bez)
бафут (bfd)
болгарська (bg)
бходжпурі (bho)
біслама (bi)
бікольська (bik)
біні (bin)
ком (bkm)
сіксіка (bla)
бамбара (bm)
бенгальська (bn)
тибетська (bo)
бретонська (br)
брадж (bra)
бодо (brx)
боснійська (bs)
акус (bss)
бурятська (bua)
бугійська (bug)
булу (bum)
блін (byn)
медумба (byv)
каталонська (ca)
каддо (cad)
карібська (car)
кайюга (cay)
атсам (cch)
чеченська (ce)
себуанська (ceb)
кіга (cgg)
чаморро (ch)
чібча (chb)
чагатайська (chg)
чуукська (chk)
марійська (chm)
чинук жаргон (chn)
чокто (cho)
чіпев’ян (chp)
черокі (chr)
чейєнн (chy)
курдська (сорані) (ckb)
корсиканська (co)
коптська (cop)
крі (cr)
кримськотатарська (crh)
чеська (cs)
кашубська (csb)
церковнослов’янська (cu)
чуваська (cv)
валлійська (cy)
данська (da)
дакота (dak)
даргінська (dar)
таіта (dav)
німецька (de)
верхньонімецька (Швейцарія) (de_CH)
делаварська (del)
слейв (den)
догрибська (dgr)
дінка (din)
джерма (dje)
догрі (doi)
нижньолужицька (dsb)
дуала (dua)
середньонідерландська (dum)
дівехі (dv)
дьола-фоні (dyo)
діула (dyu)
дзонг-ке (dz)
дазага (dzg)
ембу (ebu)
еве (ee)
ефік (efi)
давньоєгипетська (egy)
екаджук (eka)
грецька (el)
еламська (elx)
англійська (en)
англійська британська (en_GB)
середньоанглійська (enm)
есперанто (eo)
іспанська (es)
іспанська (Європа) (es_ES)
естонська (et)
баскська (eu)
евондо (ewo)
перська (fa)
фанг (fan)
фанті (fat)
фула (ff)
фінська (fi)
філіппінська (fil)
фіджі (fj)
фарерська (fo)
фон (fon)
французька (fr)
середньофранцузька (frm)
давньофранцузька (fro)
фризька північна (frr)
фризька східна (frs)
фріульська (fur)
західно-фризька (fy)
ірландська (ga)
га (gaa)
гагаузька (gag)
гайо (gay)
гбайя (gba)
гаельська (gd)
гєез (gez)
гільбертська (gil)
галісійська (gl)
середньоверхньонімецька (gmh)
гуарані (gn)
давньоверхньонімецька (goh)
гонді (gon)
горонтало (gor)
готська (got)
гребо (grb)
давньогрецька (grc)
німецька швейцарська (gsw)
гуджараті (gu)
гусії (guz)
менкська (gv)
кучін (gwi)
хауса (ha)
хайда (hai)
гавайська (haw)
іврит (he)
гінді (hi)
хілігайнон (hil)
хітіті (hit)
хмонг (hmn)
хірі-моту (ho)
хорватська (hr)
верхньолужицька (hsb)
гаїтянська (ht)
угорська (hu)
хупа (hup)
вірменська (hy)
гереро (hz)
інтерлінгва (ia)
ібанська (iba)
ібібіо (ibb)
індонезійська (id)
інтерлінгве (ie)
ігбо (ig)
сичуань (ii)
інупіак (ik)
ілоканська (ilo)
інгуська (inh)
ідо (io)
ісландська (is)
італійська (it)
інуктітут (iu)
японська (ja)
ложбан (jbo)
нгомба (jgo)
мачаме (jmc)
іудео-перська (jpr)
іудео-арабська (jrb)
яванська (jv)
грузинська (ka)
каракалпацька (kaa)
кабільська (kab)
качін (kac)
йю (kaj)
камба (kam)
каві (kaw)
кабардинська (kbd)
канембу (kbl)
тіап (kcg)
маконде (kde)
кабувердіану (kea)
коро (kfo)
конґолезька (kg)
кхасі (kha)
хотаносакська (kho)
койра чіїні (khq)
кікуйю (ki)
кунама (kj)
казахська (kk)
како (kkj)
калааллісут (kl)
календжин (kln)
кхмерська (km)
кімбунду (kmb)
каннада (kn)
корейська (ko)
комі-перм’яцька (koi)
конкані (kok)
косрае (kos)
кпеллє (kpe)
канурі (kr)
карачаєво-балкарська (krc)
карельська (krl)
курукх (kru)
кашмірська (ks)
шамбала (ksb)
бафіа (ksf)
колоніан (ksh)
курдська (ku)
кумицька (kum)
кутенаї (kut)
комі (kv)
корнійська (kw)
киргизька (ky)
латинська (la)
ладіно (lad)
лангі (lag)
ланда (lah)
ламба (lam)
люксембурзька (lb)
лезгінська (lez)
ганда (lg)
лімбургійська (li)
лакота (lkt)
лінгала (ln)
лаоська (lo)
монго (lol)
лозі (loz)
литовська (lt)
луба-катанга (lu)
луба-лулуа (lua)
луїсеньо (lui)
лунда (lun)
луо (luo)
лушей (lus)
луйя (luy)
латвійська (lv)
мадурська (mad)
мафа (maf)
