ab,abxazcha
af,afrikancha
am,amxarcha
ar,arabcha
ar_001,zamonavij standart arabcha
as,assamcha
az,ozarbayjoncha
be,belaruscha
bg,bolgarcha
bn,bengalcha
bo,tibetcha
bs,bosniyacha
ca,katalancha
cs,chexcha
cy,uelscha
da,daniyacha
de,olmoncha
de_AT,Avstriya olmonchasi
de_CH,Shvesariya olmonchasi
el,grekcha
en,inglizcha
en_AU,Avstraliya inglizchasi
en_CA,Kanada inglizchasi
en_GB,Britaniya inglizchasi
en_US,AQSh inglizchasi
eo,esperanto
es,ispancha
es_419,Lotin Amerika ispanchasi
es_ES,Yevropa ispanchasi
es_MX,Meksika ispanchasi
et,estoncha
eu,baskcha
fa,forscha
fi,fincha
fil,filipino
fj,fijicha
fo,farercha
fr,fransuzcha
fr_CA,Kanada fransuzchasi
fr_CH,Shvesariya fransuzchasi
fy,gʻarbiy friziancha
ga,irlandcha
gl,galitsiycha
gn,guarani
gsw,shveysariya nemischasi
gu,gujarati
ha,xausa
haw,gavaycha
he,ibroniy
hi,hindcha
hr,xorvatcha
ht,gaitiancha
hu,vengrcha
hy,armancha
id,indoneziyacha
ig,igbo
is,islandcha
it,italyancha
ja,yaponcha
jv,yavancha
ka,gruzincha
kk,qozoqcha
km,xmercha
kn,kannada
ko,koreyscha
ks,kashmircha
ku,kurdcha
ky,qirgʻizcha
la,lotincha
lb,lyuksemburgcha
lo,lao
lt,litvacha
lv,latishcha
mg,malagasi
mi,maori
mk,makedoncha
ml,malayalam
mr,marati
ms,malaycha
mt,maltacha
my,birmancha
nb,norvegcha bokmal
ne,nepalcha
nl,gollandcha
nl_BE,flamandcha
nn,norvegcha ninorsk
or,oriya
pa,panjobcha
pl,polyakcha
ps,pushtu
pt,portugalcha
pt_BR,Braziliya portugalchasi
pt_PT,Yevropa portugalchasi
qu,kvechua
rm,romancha
ro,rumincha
ru,ruscha
sa,sanskritcha
sd,sindxi
si,sinxala
sk,slovakcha
sl,slovencha
so,somalicha
sq,albancha
sr,serbcha
su,sundancha
sv,shvedcha
sw,suaxili
ta,tamilcha
te,telugu
tg,tojikcha
th,taycha
ti,tigrinya
tk,turkmancha
to,tongocha
tr,turkcha
tt,tatarcha
ug,uygʻurcha
uk,ukraincha
und,nomaʼlum til
ur,urdu
uz,oʻzbekcha
vi,vyetnamcha
wo,volofcha
xh,xosa
yo,yoruba
zgh,standart marokash tamazit
zh,xitoycha
zh_Hans,soddalashtirilgan xitoycha
zh_Hant,anʼanaviy xitoycha
zu,zulu
zxx,til tarkibi yoʻq
