афарча (aa)
абхазча (ab)
ачин (ace)
адангмэ (ada)
адигей (ady)
африкаанс (af)
агемча (agq)
айну (ain)
аканча (ak)
алеут (ale)
амхарча (am)
арагон (an)
ангика (anp)
арабча (ar)
стандарт арабча (ar_001)
мапудунгун (arn)
арапахо (arp)
ассомча (as)
асуча (asa)
астурийча (ast)
аварча (av)
авадхи (awa)
аймара (ay)
озарбайжонча (az)
бошқирдча (ba)
балича (ban)
басаа (bas)
беларусча (be)
бемба (bem)
бенача (bez)
болгарча (bg)
бхожпури (bho)
бислама (bi)
бини (bin)
бамбарча (bm)
бенгалча (bn)
тибетча (bo)
бретонча (br)
бодоча (brx)
боснийча (bs)
бугийча (bug)
блинча (byn)
каталонча (ca)
чечен тили (ce)
себуанча (ceb)
чигача (cgg)
чаморро (ch)
чуукча (chk)
мари (chm)
чоктавча (cho)
чероки (chr)
шайенн (chy)
сорани-курдча (ckb)
корсиканча (co)
чехча (cs)
славянча (черков) (cu)
чуваш тили (cv)
уэлсча (cy)
датча (da)
дакотча (dak)
даргинча (dar)
таитача (dav)
немисча (de)
догриб (dgr)
зарма (dje)
қуйи-сорбча (dsb)
дуалача (dua)
дивехи (dv)
диола-фогни (dyo)
дзонгка (dz)
дазага (dzg)
эмбуча (ebu)
эвеча (ee)
эфик (efi)
экажук (eka)
грекча (el)
инглизча (en)
инглизча (Британия) (en_GB)
инглизча (Америка) (en_US)
эсперанто (eo)
испанча (es)
эстонча (et)
баскча (eu)
эвондонча (ewo)
форсий (fa)
фулаҳ (ff)
финча (fi)
филипинча (fil)
фижича (fj)
фарерча (fo)
фон (fon)
французча (fr)
фриулча (fur)
ғарбий фризча (fy)
ирландча (ga)
га (gaa)
шотландча гаелик (gd)
геэз (gez)
гилбертча (gil)
галицийча (gl)
гуарани (gn)
горонтало (gor)
немисча (Швейцария) (gsw)
гужаротча (gu)
гусии (guz)
мэнча (gv)
гвичин (gwi)
хауса (ha)
гавайча (haw)
иброний (he)
ҳинди (hi)
хилигайнон (hil)
хмонгча (hmn)
хорватча (hr)
юқори сорбча (hsb)
гаитянча (ht)
венгерча (hu)
хупа тили (hup)
арманча (hy)
гереро (hz)
интерлингва (ia)
ибан тили (iba)
ибибо (ibb)
индонезча (id)
игбо (ig)
илоко (ilo)
ингушча (inh)
идо (io)
исландча (is)
италянча (it)
инуктитут (iu)
японча (ja)
нгомба (jgo)
мачаме тили (jmc)
яванча (jv)
грузинча (ka)
кабилча (kab)
кажи (kaj)
камбача (kam)
макондеча (kde)
кабувердиану (kea)
койра-чиини (khq)
кикую (ki)
қозоқча (kk)
како (kkj)
гренландча (kl)
каленжинча (kln)
хмерча (km)
каннада (kn)
корейсча (ko)
конканча (kok)
канури (kr)
кашмирча (ks)
шамбала (ksb)
бафияча (ksf)
кёлнча (ksh)
курдча (ku)
корнча (kw)
қирғизча (ky)
лотинча (la)
лангича (lag)
люксембургча (lb)
гандача (lg)
лакотачалакотача (lkt)
лингалча (ln)
лаосча (lo)
шимолий лури (lrc)
литвача (lt)
луба-катанга (lu)
лушай (lus)
луҳя (luy)
латишча (lv)
масайча (mas)
мокша тили (mdf)
менде (men)
меруча (mer)
морисьен (mfe)
малагасийча (mg)
махува-митто (mgh)
мета (mgo)
маршалл тили (mh)
маори (mi)
микмак (mic)
минангкабау (min)
македонча (mk)
малаялам (ml)
мўғулча (mn)
манипурча (mni)
могавк (moh)
мосси (mos)
маратхи (mr)
малай тил (ms)
малтача (mt)
мунданг (mua)
бир нечта тил (mul)
крикча (mus)
мирандес (mwl)
бирманча (my)
эрзянча (myv)
мазандеран (mzn)
нама (naq)
норвегча бокмал (nb)
шимолий ндебеле (nd)
непалча (ne)
ниуэча (niu)
голландча (nl)
фламандча (nl_BE)
квасио (nmg)
норвегча нюнорск (nn)
нгиембун (nnh)
нко (nqo)
жанубий ндебелча (nr)
нуэрча (nus)
чева (ny)
нянколе (nyn)
окситанча (oc)
оромо (om)
одия (or)
панжобча (pa)
папияменто (pap)
полякча (pl)
пушту (ps)
португалча (pt)
кечуа (qu)
кичэ (quc)
романшча (rm)
рунди (rn)
руминча (ro)
ромбоча (rof)
русча (ru)
арумин (rup)
киняруанда (rw)
руанда тили (rwk)
санскрит (sa)
саха (sah)
самбуруча (saq)
сантали (sat)
сангуча (sbp)
синдҳи (sd)
шимолий саамча (se)
сена (seh)
койраборо-сенни (ses)
санго (sg)
ташелхит (shi)
сингалча (si)
словакча (sk)
словенча (sl)
жанубий саамча (sma)
луле-саамча (smj)
инари-саамча (smn)
сколт-саамча (sms)
шона (sn)
сомалича (so)
албанча (sq)
сербча (sr)
свати (ss)
саҳоча (ssy)
сунданча (su)
шведча (sv)
суахили (sw)
конго-суахили (sw_CD)
коморча (swb)
сурияча (syr)
тамилча (ta)
телугу (te)
тесо (teo)
тожикча (tg)
тайча (th)
тигриняча (ti)
тигре (tig)
туркманча (tk)
тонганча (to)
туркча (tr)
татарча (tt)
тасавак (twq)
марказий атлас тамазигхт (tzm)
уйғурча (ug)
украинча (uk)
номаълум тил (und)
урду (ur)
ўзбекча (uz)
ваи (vai)
венда (ve)
ветнамча (vi)
волапюк (vo)
вунжо (vun)
валсерча (wae)
волятта (wal)
волофча (wo)
хоса (xh)
сога (xog)
янгбен (yav)
иддиш (yi)
йоруба (yo)
кантонча (yue)
тамазигхт (zgh)
хитойча (zh)
соддалаштирилган хитойча (zh_Hans)
анъанавий хитойча (zh_Hant)
зулу (zu)
Тил таркиби йўқ (zxx)
