Akaŋ (ak)
Amihári (am)
Lahabu (ar)
Bhelarusaŋ (be)
Bhɔgerɛŋ (bg)
Bhɛŋgáli (bn)
Chɛ (cs)
Jamáĩ (de)
Hɛlɛŋ (el)
Poo (en)
Panyɛĩ (es)
Pɛɛsiyɛŋ (fa)
Fɛŋsi (fr)
Hawusa (ha)
Híiŋdi (hi)
Hɔŋgérɛŋ (hu)
Índonisiyɛŋ (id)
Ígbo (ig)
Itáliyɛŋ (it)
Japaníĩ (ja)
Javaníĩ (jv)
Kimɛɛ̃ tɛ (km)
Koríyɛŋ (ko)
Maléee (ms)
Bhɛmísi (my)
Nipali (ne)
Dɔchi (nl)
Puŋjabhi (pa)
Pɔ́lési (pl)
Potokíi (pt)
Romíniyɛŋ (ro)
Rɔshiyɛŋ (ru)
Rawunda (rw)
Somáli (so)
Súwídɛŋ (sv)
Tamíli (ta)
Tái (th)
Tɔ́ki (tr)
Yukureniyɛŋ (uk)
Ɔdu (ur)
Vai (vai)
Viyamíĩ (vi)
Yóróbha (yo)
Chaniĩ (zh)
Zúlu (zu)
