isiBhulu (af)
Isi-Amharic (am)
Isi-Arabic (ar)
isiAssamese (as)
Isi-Azerbaijani (az)
Isi-Belarusian (be)
Isi-Bulgaria (bg)
Isi-Bihari (bh)
Isi-Bengali (bn)
Breton (br)
Isi-Bosnia (bs)
Isi-Calatan (ca)
Isi-Czech (cs)
Isi-Welsh (cy)
Isi-Danish (da)
Isi-German (de)
Isi-Greek (el)
isiNgesi (en)
Isi-Esperanto (eo)
Isi-Spanish (es)
Isi-Estonian (et)
Isi-Basque (eu)
Isi-Persia (fa)
Isi-Finnish (fi)
Isi-Taglog (fil)
Isi-Faroese (fo)
Isi-French (fr)
Isi-Frisian (fy)
Isi-Irish (ga)
Scots Gaelic (gd)
Isi-Galician (gl)
Guarani (gn)
Isi-Gujarati (gu)
Isi-Hebrew (he)
Isi-Hindi (hi)
Isi-Croatia (hr)
Isi-Hungarian (hu)
isiArmenian (hy)
Interlingua (ia)
Isi-Indonesian (id)
isiInterlingue (ie)
Isi-Icelandic (is)
Isi-Italian (it)
Isi-Japanese (ja)
Isi-Javanese (jv)
Isi-Georgia (ka)
isiCambodia (km)
Isi-Kannada (kn)
Isi-Korean (ko)
Kurdish (ku)
Kyrgyz (ky)
Isi-Latin (la)
Iilwimi (ln)
IsiLoathian (lo)
Isi-Lithuanian (lt)
Isi-Latvian (lv)
Isi-Macedonian (mk)
Isi-Malayalam (ml)
IsiMongolian (mn)
Isi-Marathi (mr)
Isi-Malay (ms)
Isi-Maltese (mt)
Isi-Nepali (ne)
Isi-Dutch (nl)
Isi-Norwegia (Nynorsk) (nn)
Isi-Norwegian (no)
Iso-Occitan (oc)
Oriya (or)
Isi-Punjabi (pa)
Isi-Polish (pl)
Pashto (ps)
Isi-Portuguese (pt)
portokugusseee (pt_BR)
Isi-Portuguese (Portugal) (pt_PT)
Isi-Romanian (ro)
Isi-Russian (ru)
iSanskrit (sa)
isiSindhi (sd)
Serbo-Croatian (sh)
Isi-Sinhalese (si)
Isi-Slovak (sk)
Isi-Slovenian (sl)
IsiSomaliya (so)
Isi-Albania (sq)
Isi-Serbia (sr)
Sesotho (st)
Isi-Sudanese (su)
Isi-Swedish (sv)
Isi-Swahili (sw)
Isi-Tamil (ta)
Isi-Telegu (te)
Isi-Thai (th)
Isi-Tigrinya (ti)
Turkmen (tk)
Klingon (tlh)
Isi-Turkish (tr)
Twi (tw)
Isi Uighur (ug)
Isi-Ukranian (uk)
Urdu (ur)
Isi-Uzbek (uz)
Isi-Vietnamese (vi)
isiXhosa (xh)
Yiddish (yi)
isiZulu (zu)
