Oluakaani (ak)
Oluamhariki (am)
Oluwarabu (ar)
Olubelarusi (be)
Olubulugariya (bg)
Olubengali (bn)
Oluceeke (cs)
Oludaaki (de)
Oluyonaani (el)
Olungereza (en)
Olusipanya (es)
Oluperusi (fa)
Olufalansa (fr)
Oluhawuza (ha)
Oluhindu (hi)
Oluhangare (hu)
Oluyindonezya (id)
Oluyibo (ig)
Oluyitale (it)
Olujapani (ja)
Olunnajjava (jv)
Olukme (km)
Olukoreya (ko)
Olumalayi (ms)
Olubbama (my)
Olunepali (ne)
Oluholandi (nl)
Olupunjabi (pa)
Olupolandi (pl)
Olupotugiizi (pt)
Olulomaniya (ro)
Olulasa (ru)
Olunarwanda (rw)
Olusomaliya (so)
Oluswideni (sv)
Olutamiiru (ta)
Oluttaayi (th)
Olutake (tr)
Oluyukurayine (uk)
Olu-urudu (ur)
Oluvyetinaamu (vi)
Olusoga (xog)
Oluyoruba (yo)
Olucayina (zh)
Oluzzulu (zu)
