akánɛ (ak)
amalíke (am)
́pakas (ar)
pielúse (be)
bulgálɛ (bg)
pengálɛ́ɛ (bn)
cɛ́kɛ́ɛ (cs)
ŋndiáman (de)
yavánɛ (el)
íŋgilísé (en)
nuɛspanyɔ́lɛ (es)
nupɛ́lisɛ (fa)
feleŋsí (fr)
pakas (ha)
índí (hi)
ɔ́ŋgɛ (hu)
índonísiɛ (id)
íbo (ig)
itáliɛ (it)
ndiáman (ja)
yávanɛ (jv)
kímɛɛ (km)
kolíe (ko)
máliɛ (ms)
bímanɛ (my)
nunipálɛ (ne)
nilándɛ (nl)
nupunsapíɛ́ (pa)
nupolonɛ́ɛ (pl)
nupɔlitukɛ́ɛ (pt)
nulumɛ́ŋɛ (ro)
nulúse (ru)
nuluándɛ́ɛ (rw)
nusomalíɛ (so)
nusuetua (sv)
nutámule (ta)
nutáyɛ (th)
nutúluke (tr)
nukeleniɛ́ŋɛ (uk)
nulutú (ur)
nufiɛtnamíɛŋ (vi)
nuasue (yav)
nuyolúpa (yo)
sinúɛ (zh)
nusulú (zu)
