אַפֿאַר (aa)
אַפֿריקאַנס (af)
אַקאַדיש (akk)
אַמהאַריש (am)
אַראַגאניש (an)
אַלט ענגליש (ang)
אַראַביש (ar)
אַראַמיש (arc)
אַסאַמיש (as)
אַזערביידזשאַניש (az)
באַלינעזיש (ban)
בײַעריש (bar)
בעלאַרוסיש (be)
בולגאַריש (bg)
בענגאַליש (bn)
טיבעטיש (bo)
ברעטאניש (br)
באסניש (bs)
קאַטאַלאניש (ca)
סעבואַניש (ceb)
קרים־טערקיש (crh)
טשעכיש (cs)
קאַשוביש (csb)
קלויסטער־סלאַוויש (cu)
וועלשיש (cy)
דעניש (da)
דײַטש (de)
אונטער־סארביש (dsb)
זשאלא־פֿאני (dyo)
גריכיש (el)
ענגליש (en)
מיטל ענגליש (enm)
עספּעראַנטא (eo)
שפּאַניש (es)
עסטיש (et)
באַסקיש (eu)
פּערסיש (fa)
פֿיניש (fi)
פֿיליפּינא (fil)
פֿידזשי (fj)
פֿאַראיש (fo)
פֿראַנצויזיש (fr)
אַלט־פֿראַנצויזיש (fro)
דרום־פֿריזיש (frr)
מזרח־פֿריזיש (frs)
מערב־פֿריזיש (fy)
איריש (ga)
סקאטיש געליש (gd)
גאַלישיש (gl)
מיטל הויכדויטש (gmh)
אַלט־ הויכדויטש (goh)
גאטיש (got)
אוראַלט־גריכיש (grc)
מאַנקס (gv)
האַוסאַ (ha)
העברעאיש (he)
הינדי (hi)
פידזשי הינדי (hif)
קראאַטיש (hr)
אייבער־סארביש (hsb)
אונגעריש (hu)
אַרמעניש (hy)
אינדאנעזיש (id)
אידא (io)
איסלאַנדיש (is)
איטאַליעניש (it)
יאַפּאַניש (ja)
לאזשבאָן (jbo)
יידיש־פערסיש (jpr)
יאַוואַנעזיש (jv)
גרוזיניש (ka)
קאַזאַכיש (kk)
כמער (km)
קאַנאַדאַ (kn)
קארעאיש (ko)
קורדיש (ku)
קארניש (kw)
קירגיזיש (ky)
לאטייניש (la)
לאַדינא (lad)
לוקסעמבורגיש (lb)
ליוויש (liv)
לאַא (lo)
ליטוויש (lt)
מיזא (lus)
לעטיש (lv)
מאַאריש (mi)
מאַקעדאניש (mk)
מאַלאַיאַלאַם (ml)
מאנגאליש (mn)
מאַלטעזיש (mt)
בירמאַניש (my)
נאַפּאליטַניש (nap)
נידערדײַטש (nds)
נעפּאַליש (ne)
האלענדיש (nl)
פֿלעמיש (nl_BE)
נײַ־נארוועגיש (nn)
נארוועגיש (no)
אקסיטאַניש (oc)
אסעטיש (os)
אַלט פּערסיש (peo)
פּויליש (pl)
פּרייסיש (prg)
פּאַשטאָ (ps)
פּארטוגעזיש (pt)
רומעניש (ro)
רוסיש (ru)
רוסיניש (rue)
סאַנסקריט (sa)
סאַרדיש (sc)
סיציליאַניש (scn)
סקאטס (sco)
סינדהי (sd)
נארדסאַמיש (se)
אַלט־איריש (sga)
סערבא־קראאַטיש (sh)
סינהאַליש (si)
סלאוואַקיש (sk)
סלאוועניש (sl)
אונטער שלעזיש (sli)
sly (sly)
סאַמאאַניש (sm)
שאנאַ (sn)
סאמאַליש (so)
אַלבאַניש (sq)
סערביש (sr)
סומעריש (sux)
שוועדיש (sv)
סוואַהיליש (sw)
קאנגא־סוואַהיליש (sw_CD)
קאמאריש (swb)
שלעזיש (szl)
טאַמיל (ta)
טיגרע (tig)
טורקמעניש (tk)
טאַגאַלאג (tl)
טאָטעריש (tt)
אוקראַאיניש (uk)
אומבאַוואוסטע שפּראַך (und)
אורדו (ur)
אוזבעקיש (uz)
וויעטנאַמעזיש (vi)
מערב פֿלעמיש (vls)
וואלאַפּוק (vo)
ייִדיש (yi)
כינעזיש (zh)
זולו (zu)
