阿法尔文 (aa)
阿布哈西亚语 (ab)
亚齐文 (ace)
阿乔利文 (ach)
阿当梅文 (ada)
阿迪格文 (ady)
阿维斯塔文 (ae)
南非荷兰语 (af)
阿弗里希利文 (afh)
亚罕文 (agq)
阿伊努文 (ain)
阿肯文 (ak)
阿卡德文 (akk)
阿留申文 (ale)
南阿尔泰文 (alt)
阿姆哈拉文 (am)
阿拉贡文 (an)
古英文 (ang)
昂加文 (anp)
阿拉伯语 (ar)
现代标准阿拉伯语 (ar_001)
阿拉米文 (arc)
马普切文 (arn)
阿拉帕霍文 (arp)
阿拉瓦克文 (arw)
阿萨姆文 (as)
阿苏文 (asa)
阿斯图里亚斯文 (ast)
阿瓦尔文 (av)
阿瓦乔文 (awa)
艾马拉文 (ay)
阿塞拜疆语 (az)
南阿塞拜疆文 (az_Arab)
巴什基尔文 (ba)
俾路支文 (bal)
巴里文 (ban)
巴萨文 (bas)
巴姆穆文 (bax)
戈马拉文 (bbj)
白俄罗斯语 (be)
贝沙文 (bej)
别姆巴文 (bem)
贝纳文 (bez)
巴非特文 (bfd)
保加利亚语 (bg)
西俾路支文 (bgn)
博杰普尔文 (bho)
比斯拉马文 (bi)
比科尔文 (bik)
比尼文 (bin)
科姆文 (bkm)
西克西卡文 (bla)
班巴拉文 (bm)
孟加拉语 (bn)
藏语 (bo)
布列塔尼文 (br)
布拉杰文 (bra)
博多文 (brx)
波斯尼亚语 (bs)
阿库色文 (bss)
布里亚特文 (bua)
布吉文 (bug)
布鲁文 (bum)
布林文 (byn)
梅敦巴文 (byv)
加泰罗尼亚语 (ca)
卡多文 (cad)
加勒比语 (car)
卡尤加文 (cay)
阿灿文 (cch)
车臣文 (ce)
宿务文 (ceb)
奇加文 (cgg)
查莫罗文 (ch)
奇布查文 (chb)
查加台文 (chg)
丘克文 (chk)
马里文 (chm)
奇努克混合文 (chn)
乔克托文 (cho)
奇佩维安文 (chp)
彻罗基文 (chr)
夏延文 (chy)
中库尔德文 (ckb)
科西嘉文 (co)
科普特文 (cop)
克里族文 (cr)
克里米亚土耳其文 (crh)
塞舌尔克里奥尔文 (crs)
捷克语 (cs)
卡舒比文 (csb)
教会斯拉夫文 (cu)
楚瓦什文 (cv)
威尔士语 (cy)
丹麦语 (da)
达科他文 (dak)
达尔格瓦文 (dar)
台塔文 (dav)
德文 (de)
奥地利德文 (de_AT)
瑞士高地德文 (de_CH)
特拉华文 (del)
史拉维文 (den)
多格里布文 (dgr)
丁卡文 (din)
哲尔马文 (dje)
多格拉文 (doi)
下索布文 (dsb)
都阿拉文 (dua)
中古荷兰文 (dum)
迪维希文 (dv)
朱拉文 (dyo)
迪尤拉文 (dyu)
宗卡文 (dz)
达扎葛文 (dzg)
恩布文 (ebu)
埃维文 (ee)
埃菲克文 (efi)
古埃及语 (egy)
艾卡朱克文 (eka)
希腊语 (el)
埃兰文 (elx)
英语 (en)
中古英文 (enm)
世界语 (eo)
西班牙文 (es)
拉丁美洲西班牙文 (es_419)
欧洲西班牙文 (es_ES)
墨西哥西班牙文 (es_MX)
爱沙尼亚语 (et)
巴斯克文 (eu)
旺杜文 (ewo)
波斯文 (fa)
芳格文 (fan)
芳蒂文 (fat)
富拉文 (ff)
芬兰语 (fi)
菲律宾语 (fil)
斐济文 (fj)
法罗文 (fo)
丰文 (fon)
法语 (fr)
中古法文 (frm)
古法文 (fro)
北弗里西亚文 (frr)
东弗里西亚文 (frs)
弗留利文 (fur)
西弗里西亚文 (fy)
爱尔兰语 (ga)
加族文 (gaa)
加告兹文 (gag)
赣语 (gan)
迦约文 (gay)
格巴亚文 (gba)
苏格兰盖尔文 (gd)
吉兹文 (gez)
吉尔伯特斯文 (gil)
加利西亚语 (gl)
中古高地德文 (gmh)
瓜拉尼文 (gn)
古高地德文 (goh)
冈德文 (gon)
哥伦打洛文 (gor)
哥特文 (got)
格列博文 (grb)
古希腊语 (grc)
德语（瑞士） (gsw)
古吉拉特语 (gu)
古西文 (guz)
马恩岛文 (gv)
吉维克琴文 (gwi)
豪萨文 (ha)
海达文 (hai)
客家语 (hak)
夏威夷文 (haw)
希伯来语 (he)
印地语 (hi)
希利盖农文 (hil)
赫梯文 (hit)
苗族文 (hmn)
希里莫图文 (ho)
克罗地亚语 (hr)
上索布文 (hsb)
湘语 (hsn)
海地克里奥尔文 (ht)
匈牙利语 (hu)
胡帕文 (hup)
亚美尼亚语 (hy)
赫雷罗文 (hz)
国际语 (ia)
伊班文 (iba)
伊比比奥文 (ibb)
印度尼西亚语 (id)
国际文字（E） (ie)
伊布文 (ig)
四川彝文 (ii)
伊努皮克文 (ik)
伊洛干诺文 (ilo)
印古什文 (inh)
伊多文 (io)
冰岛语 (is)
意大利语 (it)
因纽特语 (iu)
日语 (ja)
逻辑文 (jbo)
恩艮巴 (jgo)
马切姆文 (jmc)
犹太波斯语 (jpr)
犹太阿拉伯语 (jrb)
爪哇语 (jv)
格鲁吉亚语 (ka)
卡拉卡尔帕克文 (kaa)
卡比尔文 (kab)
克钦文 (kac)
卡捷文 (kaj)
卡姆巴文 (kam)
卡威文 (kaw)
卡巴尔德文 (kbd)
加涅姆布文 (kbl)
卡塔布文 (kcg)
马孔德文 (kde)
卡布佛得鲁文 (kea)
科罗文 (kfo)
刚果语 (kg)
卡西文 (kha)
和田文 (kho)
西桑海文 (khq)
吉库尤文 (ki)
宽亚玛文 (kj)
哈萨克语 (kk)
卡库文 (kkj)
格陵兰文 (kl)
卡伦金文 (kln)
高棉文 (km)
金邦杜文 (kmb)
卡纳达文 (kn)
韩文 (ko)
科米-彼尔米亚克文 (koi)
刚卡尼文 (kok)
科斯拉伊文 (kos)
克佩列文 (kpe)
卡努里文 (kr)
卡拉恰伊巴尔卡尔文 (krc)
卡累利阿文 (krl)
库鲁克文 (kru)
克什米尔文 (ks)
香巴拉文 (ksb)
巴菲亚文 (ksf)
科隆文 (ksh)
库尔德文 (ku)
库米克文 (kum)
库特奈文 (kut)
科米文 (kv)
凯尔特文 (kw)
吉尔吉斯文 (ky)
拉丁语 (la)
拉地诺文 (lad)
朗吉文 (lag)
印度-雅利安文 (lah)
兰巴文 (lam)
卢森堡语 (lb)
列兹金文 (lez)
卢干达文 (lg)
林堡文 (li)
拉科塔文 (lkt)
林加拉文 (ln)
老挝语 (lo)
蒙戈文 (lol)
洛齐文 (loz)
北卢尔文 (lrc)
立陶宛语 (lt)
鲁巴加丹加文 (lu)
卢巴-卢拉文 (lua)
卢伊塞诺文 (lui)
隆达文 (lun)
卢奥文 (luo)
米佐文 (lus)
卢雅文 (luy)
拉脱维亚语 (lv)
马都拉文 (mad)
马法文 (maf)
马加伊文 (mag)
迈蒂利文 (mai)
望加锡文 (mak)
曼丁哥文 (man)
萨伊文 (mas)
马坝文 (mde)
莫克沙文 (mdf)
曼达尔文 (mdr)
门德文 (men)
梅鲁文 (mer)
毛里求斯克里奥尔文 (mfe)
马尔加什文 (mg)
中古爱尔兰文 (mga)
马库阿文 (mgh)
梅塔文 (mgo)
马绍尔文 (mh)
毛利文 (mi)
密克马克文 (mic)
米南卡保文 (min)
马其顿文 (mk)
马拉雅拉姆语 (ml)
蒙古文 (mn)
满文 (mnc)
曼尼普尔文 (mni)
摩霍克文 (moh)
莫西文 (mos)
马拉地文 (mr)
马来语 (ms)
马耳他文 (mt)
蒙当文 (mua)
多种语系 (mul)
克里克文 (mus)
米兰德斯文 (mwl)
马尔瓦里文 (mwr)
缅甸语 (my)
姆耶内文 (mye)
厄尔兹亚文 (myv)
马赞德兰文 (mzn)
瑙鲁文 (na)
闽南语 (nan)
那不勒斯文 (nap)
纳马文 (naq)
挪威博克马尔语 (nb)
北恩德贝勒文 (nd)
低地德文 (nds)
低萨克森文 (nds_NL)
尼泊尔语 (ne)
内瓦里文 (new)
恩东加文 (ng)
尼亚斯文 (nia)
纽埃文 (niu)
荷兰语 (nl)
佛兰德文 (nl_BE)
夸西奥文 (nmg)
挪威尼诺斯克文 (nn)
恩甘澎文 (nnh)
挪威语 (no)
诺盖文 (nog)
古诺尔斯文 (non)
西非书面文字 (nqo)
南恩德贝勒文 (nr)
北索托文 (nso)
努埃尔文 (nus)
纳瓦霍文 (nv)
古典尼瓦尔文 (nwc)
尼昂加文 (ny)
尼扬韦齐文 (nym)
尼昂科勒文 (nyn)
尼奥罗文 (nyo)
恩济马文 (nzi)
奥克西唐文 (oc)
奥吉布瓦文 (oj)
奥洛莫文 (om)
奥里亚文 (or)
奥塞梯文 (os)
奥塞治文 (osa)
奥斯曼土耳其文 (ota)
旁遮普文 (pa)
邦阿西南文 (pag)
巴拉维文 (pal)
邦板牙文 (pam)
帕皮阿门托文 (pap)
帕劳文 (pau)
尼日利亚皮钦文 (pcm)
古波斯文 (peo)
腓尼基文 (phn)
巴利文 (pi)
波兰文 (pl)
波纳佩文 (pon)
普鲁士文 (prg)
古普罗文斯文 (pro)
普什图文 (ps)
葡萄牙文 (pt)
巴西葡萄牙文 (pt_BR)
欧洲葡萄牙文 (pt_PT)
盖丘亚文 (qu)
基切文 (quc)
拉贾斯坦文 (raj)
拉帕努伊文 (rap)
拉罗汤加文 (rar)
罗曼什文 (rm)
隆迪文 (rn)
罗马尼亚文 (ro)
摩尔多瓦文 (ro_MD)
兰博文 (rof)
吉普赛文 (rom)
根语言 (root)
俄文 (ru)
阿罗蒙文 (rup)
卢旺达语 (rw)
罗瓦文 (rwk)
梵文 (sa)
桑达韦文 (sad)
萨哈文 (sah)
萨马利亚阿拉姆文 (sam)
桑布鲁文 (saq)
萨萨克文 (sas)
桑塔利文 (sat)
甘拜文 (sba)
桑古文 (sbp)
萨丁文 (sc)
西西里文 (scn)
苏格兰文 (sco)
信德文 (sd)
南库尔德文 (sdh)
北萨米文 (se)
塞内卡文 (see)
塞纳文 (seh)
塞尔库普文 (sel)
东桑海文 (ses)
桑戈文 (sg)
古爱尔兰文 (sga)
塞尔维亚-克罗地亚文 (sh)
希尔哈文 (shi)
掸文 (shn)
乍得阿拉伯文 (shu)
僧伽罗文 (si)
悉达摩文 (sid)
斯洛伐克文 (sk)
斯洛文尼亚文 (sl)
萨摩亚文 (sm)
南萨米文 (sma)
律勒萨米文 (smj)
伊纳里萨米文 (smn)
斯科特萨米文 (sms)
绍纳文 (sn)
索宁克文 (snk)
索马里文 (so)
粟特文 (sog)
阿尔巴尼亚文 (sq)
塞尔维亚文 (sr)
苏里南汤加文 (srn)
塞雷尔文 (srr)
斯瓦蒂文 (ss)
萨霍文 (ssy)
南索托文 (st)
巽他文 (su)
苏库马文 (suk)
苏苏文 (sus)
苏美尔文 (sux)
瑞典语 (sv)
斯瓦希里文 (sw)
刚果斯瓦希里文 (sw_CD)
科摩罗文 (swb)
古典叙利亚文 (syc)
古叙利亚文 (syr)
泰米尔语 (ta)
泰卢固语 (te)
泰姆奈文 (tem)
特索文 (teo)
特伦诺文 (ter)
德顿文 (tet)
塔吉克语 (tg)
泰语 (th)
提格利尼亚文 (ti)
提格雷文 (tig)
蒂夫文 (tiv)
土库曼文 (tk)
托克劳文 (tkl)
他加禄文 (tl)
克林贡文 (tlh)
特林吉特文 (tli)
塔马奇克文 (tmh)
茨瓦纳文 (tn)
汤加文 (to)
尼亚萨汤加文 (tog)
托克皮辛文 (tpi)
土耳其文 (tr)
太鲁阁文 (trv)
聪加文 (ts)
钦西安文 (tsi)
鞑靼文 (tt)
通布卡文 (tum)
图瓦卢文 (tvl)
契维文 (tw)
北桑海文 (twq)
塔西提文 (ty)
图瓦文 (tyv)
塔马齐格特文 (tzm)
乌德穆尔特文 (udm)
维吾尔语 (ug)
乌加里特文 (uga)
乌克兰语 (uk)
翁本杜文 (umb)
未知语言 (und)
乌尔都语 (ur)
乌兹别克语 (uz)
瓦伊文 (vai)
文达文 (ve)
维普森文 (vep)
越南语 (vi)
沃拉普克文 (vo)
沃提克文 (vot)
温旧文 (vun)
瓦隆文 (wa)
瓦尔瑟文 (wae)
瓦拉莫文 (wal)
瓦瑞文 (war)
瓦绍文 (was)
瓦尔皮瑞文 (wbp)
沃洛夫文 (wo)
吴语 (wuu)
卡尔梅克文 (xal)
科萨文 (xh)
索加文 (xog)
瑶族语 (yao)
雅浦文 (yap)
洋卞文 (yav)
耶姆巴文 (ybb)
意第绪文 (yi)
约鲁巴文 (yo)
粤语 (yue)
壮语 (za)
萨波蒂克文 (zap)
布里斯符号 (zbl)
泽纳加文 (zen)
标准摩洛哥塔马塞特文 (zgh)
中文 (zh)
简体中文 (zh_Hans)
繁体中文 (zh_Hant)
祖鲁语 (zu)
祖尼文 (zun)
无语言内容 (zxx)
扎扎文 (zza)
