阿法文 (aa)
阿布哈茲文 (ab)
亞齊文 (ace)
阿僑利文 (ach)
阿當莫文 (ada)
阿迪各文 (ady)
阿緯斯陀文 (ae)
南非荷蘭文 (af)
阿弗里希利文 (afh)
亞罕文 (agq)
愛努文 (ain)
阿坎文 (ak)
阿卡德文 (akk)
阿留申文 (ale)
南阿爾泰文 (alt)
阿姆哈拉文 (am)
阿拉貢文 (an)
古英文 (ang)
昂加文 (anp)
阿拉伯文 (ar)
現代標準阿拉伯文 (ar_001)
阿拉米文 (arc)
阿勞坎文 (arn)
阿拉帕霍文 (arp)
阿拉瓦克文 (arw)
阿薩姆文 (as)
阿蘇文 (asa)
阿斯圖里亞文 (ast)
阿瓦爾文 (av)
阿瓦文 (awa)
艾馬拉文 (ay)
亞塞拜然文 (az)
巴什客爾文 (ba)
俾路支文 (bal)
峇里文 (ban)
巴薩文 (bas)
巴姆穆文 (bax)
戈馬拉文 (bbj)
白俄羅斯文 (be)
貝扎文 (bej)
別姆巴文 (bem)
貝納文 (bez)
富特文 (bfd)
保加利亞文 (bg)
博傑普爾文 (bho)
比斯拉馬文 (bi)
比科爾文 (bik)
比尼文 (bin)
康姆文 (bkm)
錫克錫卡文 (bla)
班巴拉文 (bm)
孟加拉文 (bn)
藏文 (bo)
布里多尼文 (br)
布拉杰文 (bra)
博多文 (brx)
波士尼亞文 (bs)
阿庫色文 (bss)
布里阿特文 (bua)
布吉斯文 (bug)
布魯文 (bum)
比林文 (byn)
梅敦巴文 (byv)
加泰羅尼亞文 (ca)
卡多文 (cad)
加勒比文 (car)
卡尤加文 (cay)
阿燦文 (cch)
車臣文 (ce)
宿霧文 (ceb)
奇加文 (cgg)
查莫洛文 (ch)
奇布查文 (chb)
查加文 (chg)
處奇斯文 (chk)
馬里文 (chm)
契奴克文 (chn)
喬克托文 (cho)
奇佩瓦揚文 (chp)
柴羅基文 (chr)
沙伊安文 (chy)
索拉尼庫爾德文 (ckb)
科西嘉文 (co)
科普特文 (cop)
克裡文 (cr)
克里米亞半島的土耳其文；克里米亞半島的塔塔爾文 (crh)
捷克文 (cs)
卡舒布文 (csb)
宗教斯拉夫文 (cu)
楚瓦什文 (cv)
威爾斯文 (cy)
丹麥文 (da)
達科他文 (dak)
達爾格瓦文 (dar)
台塔文 (dav)
德文 (de)
德文 (奧地利) (de_AT)
