阿法爾文 (aa)
阿塞拜疆文 (az)
南阿塞拜疆文 (az_Arab)
巴什基爾文 (ba)
布里多尼文 (br)
波斯尼亞文 (bs)
加泰隆尼亞文 (ca)
克里米亞韃靼文 (crh)
塞舌爾克里奧爾法文 (crs)
奧地利德文 (de_AT)
瑞士德語 (de_CH)
斯拉夫文 (den)
澳洲英文 (en_AU)
加拿大英文 (en_CA)
英國英文 (en_GB)
美國英文 (en_US)
世界語 (eo)
拉丁美洲西班牙文 (es_419)
歐洲西班牙文 (es_ES)
墨西哥西班牙文 (es_MX)
加拿大法文 (fr_CA)
瑞士法文 (fr_CH)
吉爾伯特文 (gil)
加里西亞文 (gl)
瑞士德文 (gsw)
印度文 (hi)
苗語 (hmn)
克羅地亞文 (hr)
意大利文 (it)
猶太波斯文 (jpr)
格魯吉亞文 (ka)
扎扎其文 (kiu)
坎納達文 (kn)
克裡奧爾文 (kri)
老撾文 (lo)
盧歐文 (luo)
毛里裘斯克里奧爾文 (mfe)
馬拉加斯文 (mg)
馬拉雅拉姆文 (ml)
馬耳他文 (mt)
荷蘭低地德文 (nds_NL)
比利時荷蘭文 (nl_BE)
西非書面語言（N’ko） (nqo)
奧里雅文 (or)
尼日利亞皮欽文 (pcm)
巴西葡萄牙語 (pt_BR)
歐洲葡萄牙文 (pt_PT)
摩爾多瓦羅馬尼亞文 (ro_MD)
阿羅馬尼亞語 (rup)
盧旺達文 (rw)
信德語 (sd)
斯洛文尼亞文 (sl)
修納文 (sn)
索馬里文 (so)
剛果史瓦希里文 (sw_CD)
敍利亞文 (syr)
泰米爾文 (ta)
湯加文 (to)
烏爾都文 (ur)
瓦爾皮里文 (wbp)
廣東話 (yue)
摩洛哥標準塔馬齊格特文 (zgh)
